seriesSlug;epNo;title;runtimeMin;progressMin
a-killer-paradox-2024;1;Episode 1;51;0
a-killer-paradox-2024;2;Episode 2;52;0
a-killer-paradox-2024;3;Episode 3;51;0
a-killer-paradox-2024;4;Episode 4;49;0
a-killer-paradox-2024;5;Episode 5;63;0
a-killer-paradox-2024;6;Episode 6;45;0
a-killer-paradox-2024;7;Episode 7;57;0
a-killer-paradox-2024;8;Episode 8;57;0
a-korean-odyssey-2017;1;Episode 1;86;0
a-korean-odyssey-2017;2;Episode 2;86;0
a-korean-odyssey-2017;3;Episode 3;83;0
a-korean-odyssey-2017;4;Episode 4;83;0
a-korean-odyssey-2017;5;Episode 5;81;0
a-korean-odyssey-2017;6;Episode 6;77;0
a-korean-odyssey-2017;7;Episode 7;67;0
a-korean-odyssey-2017;8;Episode 8;70;0
a-korean-odyssey-2017;9;Episode 9;68;0
a-korean-odyssey-2017;10;Episode 10;71;0
a-korean-odyssey-2017;11;Episode 11;70;0
a-korean-odyssey-2017;12;Episode 12;70;0
a-korean-odyssey-2017;13;Episode 13;72;0
a-korean-odyssey-2017;14;Episode 14;71;0
a-korean-odyssey-2017;15;Episode 15;74;0
a-korean-odyssey-2017;16;Episode 16;71;0
a-korean-odyssey-2017;17;Episode 17;71;0
a-korean-odyssey-2017;18;Episode 18;75;0
a-korean-odyssey-2017;19;Episode 19;71;0
a-korean-odyssey-2017;20;Episode 20;75;0
abyss-2019;1;Episode 1;66;0
abyss-2019;2;Episode 2;65;0
abyss-2019;3;Episode 3;66;0
abyss-2019;4;Episode 4;61;0
abyss-2019;5;Episode 5;61;0
abyss-2019;6;Episode 6;61;0
abyss-2019;7;Episode 7;57;0
abyss-2019;8;Episode 8;59;0
abyss-2019;9;Episode 9;59;0
abyss-2019;10;Episode 10;60;0
abyss-2019;11;Episode 11;66;0
abyss-2019;12;Episode 12;68;0
abyss-2019;13;Episode 13;60;0
abyss-2019;14;Episode 14;63;0
abyss-2019;15;Episode 15;64;0
abyss-2019;16;Episode 16;69;0
